sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
F,19.821996,1.653431,75.090439,sim,nao,2.766036,2.443812,as vezes,nao,2.707927,0.702839,0.827439,as vezes,transporte publico
M,19.524698,1.942725,121.657979,sim,sim,2.0,3.0,as vezes,nao,3.0,1.0,1.014808,as vezes,transporte publico
F,18.741188,1.556789,71.788181,sim,nao,3.0,3.129155,as vezes,nao,2.0,1.634134,1.0,nao,transporte publico
F,23.0,1.48,60.0,sim,sim,2.0,1.0,as vezes,sim,,0.0,0.0,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,16.0,1.82,71.0,sim,sim,2.0,3.0,frequentemente,nao,2.0,2.0,1.0,as vezes,transporte publico
F,16.0,1.6,57.0,nao,sim,3.0,3.0,as vezes,nao,1.0,3.0,0.0,,transporte publico
M,17.412629,,97.350366,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.931721,nao,transporte publico
,20.0,1.831357,89.652557,sim,sim,2.555401,3.292386,,nao,3.0,2.0,0.315918,as vezes,transporte publico
M,18.181821,,79.863546,sim,nao,2.492758,2.270163,as vezes,nao,1.992586,1.452467,0.864583,nao,transporte publico
M,24.079524,1.733439,97.911865,,sim,2.0,3.0,as vezes,nao,,1.309304,1.338655,nao,transporte publico
M,26.288417,1.767806,82.694689,sim,sim,1.947405,3.118013,as vezes,nao,2.136159,0.783963,0.88868,nao,transporte publico
M,19.0,1.85,115.0,nao,nao,2.0,3.0,as vezes,nao,3.0,1.0,2.0,nao,transporte publico
M,30.899219,1.909639,129.013178,sim,sim,2.22259,3.0,as vezes,sim,1.591909,1.392026,0.917727,as vezes,transporte publico
F,18.904037,1.743589,133.281333,sim,sim,3.0,3.0,as vezes,nao,2.684819,1.46525,0.804491,as vezes,transporte publico
M,,1.824432,105.131956,sim,,3.0,3.0,as vezes,nao,2.110611,1.890907,1.58483,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,37.084742,1.75,118.07381,sim,sim,2.133964,3.0,as vezes,nao,2.008361,0.202029,0.200516,as vezes,carro
F,19.275687,1.623377,82.851318,sim,sim,1.276858,2.918124,as vezes,nao,1.403784,0.552511,1.560402,as vezes,transporte publico
M,21.016665,1.790172,105.042194,sim,sim,2.259679,3.0,as vezes,nao,1.026143,0.268801,0.077818,as vezes,transporte publico
M,24.473062,1.653751,91.204753,sim,sim,1.492834,3.0,as vezes,nao,1.005367,0.922739,0.733221,nao,carro
M,33.185661,1.836007,97.416417,sim,sim,2.0,1.724887,,nao,3.0,1.0,0.0,as vezes,carro
M,55.0,1.78,84.0,sim,nao,3.0,4.0,frequentemente,nao,3.0,3.0,0.0,frequentemente,andando
F,35.125401,1.529834,62.903938,nao,sim,2.0,2.105616,as vezes,nao,1.456581,0.0,0.9974,as vezes,carro
M,20.825962,1.793378,105.655037,sim,sim,2.0,3.0,as vezes,nao,1.155384,0.003938,0.526999,as vezes,transporte publico
M,25.015173,1.788239,115.382519,sim,sim,1.735664,3.0,as vezes,nao,2.041536,1.392406,0.39174,as vezes,transporte publico
F,21.538225,1.610327,67.999778,sim,sim,1.887951,3.728377,nao,nao,2.682107,1.123931,0.492528,as vezes,transporte publico
M,26.271621,1.660955,90.0,sim,sim,2.0,3.0,as vezes,nao,3.0,0.669278,0.505266,as vezes,carro
M,18.0,1.74,64.0,sim,sim,3.0,4.0,as vezes,nao,1.0,2.0,0.0,as vezes,transporte publico
F,20.0,1.625236,74.433362,sim,nao,2.522399,1.032887,as vezes,nao,2.397653,2.358699,0.440087,,transporte publico
F,35.194089,1.673482,73.193589,sim,nao,3.0,2.809716,as vezes,nao,1.591425,0.178023,0.0,as vezes,carro
M,,1.79,90.0,nao,nao,2.0,1.0,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
F,37.532066,1.615385,80.0,sim,sim,2.972426,3.0,as vezes,nao,,0.0,0.0,as vezes,carro
F,21.633056,1.754174,133.783955,sim,sim,3.0,3.0,as vezes,nao,1.94595,1.493018,0.906611,as vezes,transporte publico
F,20.392665,1.525234,65.220249,sim,nao,2.451009,3.0,as vezes,nao,2.0,2.177243,1.323877,nao,transporte publico
F,20.924956,1.752531,133.618706,sim,,3.0,3.0,as vezes,nao,2.887659,1.480919,0.779641,as vezes,transporte publico
F,25.930376,1.608808,102.083964,sim,sim,3.0,3.0,as vezes,nao,1.019684,0.026033,1.0,as vezes,transporte publico
F,40.654155,1.52906,79.760922,sim,sim,2.0,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,carro
M,22.882558,1.793451,,sim,sim,1.899116,2.375026,as vezes,nao,1.39854,0.0,1.365793,as vezes,transporte publico
F,37.205173,1.667469,80.993373,sim,sim,2.01054,2.77684,as vezes,nao,1.651548,0.0,0.790967,nao,carro
M,27.0,1.83,99.0,sim,sim,3.0,1.0,frequentemente,nao,2.0,2.0,1.0,as vezes,andando
F,24.284833,1.650726,113.774198,sim,sim,3.0,3.0,as vezes,nao,2.75137,0.324913,0.516764,as vezes,transporte publico
M,40.106145,1.760175,117.651046,sim,sim,2.032883,2.976211,as vezes,nao,1.726109,0.477855,0.0,as vezes,carro
F,26.0,1.640606,111.036881,,sim,3.0,3.0,as vezes,nao,2.709428,,0.228486,as vezes,transporte publico
M,21.0,1.75,72.0,sim,sim,1.0,3.0,frequentemente,nao,3.0,2.0,0.0,as vezes,transporte publico
F,16.941489,1.551288,54.93242,nao,sim,1.75375,1.296156,as vezes,,2.0,0.110174,1.944675,as vezes,transporte publico
M,20.0,1.98,125.0,sim,sim,2.0,,sempre,nao,3.0,1.0,1.0,as vezes,transporte publico
M,18.0,1.7,78.0,nao,sim,1.0,3.0,as vezes,nao,2.0,0.0,1.0,as vezes,transporte publico
F,21.687409,1.604697,68.016472,sim,sim,1.901611,3.266501,nao,,2.926995,0.985872,0.307982,as vezes,transporte publico
F,25.943827,1.629491,104.839068,sim,sim,3.0,3.0,,nao,2.20979,0.114698,0.604422,as vezes,transporte publico
F,18.006742,1.7,50.0,nao,sim,1.003566,3.238258,frequentemente,nao,,0.783676,1.0,as vezes,transporte publico
F,22.329041,,44.918255,nao,nao,2.886157,2.326233,frequentemente,nao,2.306821,1.42237,0.0,nao,transporte publico
F,19.054008,1.556611,39.695295,nao,,1.889199,2.217651,as vezes,nao,2.013605,2.075293,1.683261,as vezes,transporte publico
M,16.0,1.67,50.0,sim,sim,2.0,1.0,frequentemente,nao,3.0,1.0,0.0,nao,transporte publico
F,16.0,1.66,58.0,nao,nao,,1.0,as vezes,nao,1.0,0.0,1.0,nao,andando
F,25.561868,1.675185,110.621723,sim,sim,3.0,3.0,as vezes,nao,1.49583,0.109327,0.384129,as vezes,transporte publico
F,21.412434,1.675562,121.639178,sim,sim,3.0,3.0,as vezes,nao,1.484938,0.74225,0.604692,as vezes,transporte publico
F,38.943282,1.554728,63.011645,sim,sim,2.869436,3.0,as vezes,nao,2.972426,2.16079,0.305954,as vezes,carro
F,24.469756,1.663341,113.077187,sim,sim,3.0,3.0,,nao,2.632224,,0.26956,as vezes,transporte publico
F,21.051107,1.753266,133.852432,sim,sim,3.0,3.0,as vezes,nao,2.95311,1.445148,0.67321,as vezes,transporte publico
F,21.768834,1.733383,135.524857,sim,sim,3.0,3.0,as vezes,nao,1.485736,1.950374,0.869238,as vezes,transporte publico
F,18.0,1.668555,85.607466,sim,sim,2.081238,3.0,as vezes,nao,1.18363,1.17177,0.0,nao,transporte publico
M,24.982997,1.78968,118.436166,sim,sim,1.469384,2.996444,as vezes,nao,2.067741,1.082236,0.150544,as vezes,transporte publico
F,18.0,1.622241,68.250249,sim,,2.0,1.010319,as vezes,nao,1.319437,0.0,1.626456,nao,transporte publico
F,21.0,1.75,88.0,sim,,2.0,3.0,as vezes,nao,3.0,3.0,0.0,as vezes,transporte publico
F,23.586058,1.700499,81.108599,sim,sim,2.042762,2.9774,as vezes,nao,1.522426,0.501417,1.029135,as vezes,transporte publico
F,25.959772,1.642098,104.966758,sim,sim,3.0,3.0,as vezes,nao,1.482002,0.204108,0.657221,as vezes,transporte publico
F,18.0,1.62,55.0,sim,sim,2.0,3.0,frequentemente,nao,1.0,1.0,1.0,nao,transporte publico
M,19.329542,,55.700497,sim,sim,2.0,4.0,as vezes,nao,2.157395,2.0,1.679149,nao,carro
F,19.758286,1.667404,49.125955,nao,nao,2.880792,3.281391,as vezes,nao,1.960131,1.513029,1.0,as vezes,transporte publico
F,21.0,1.54,56.0,nao,sim,2.0,1.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
M,21.0,,80.0,nao,nao,1.0,3.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
F,20.744839,1.667852,49.803921,sim,sim,2.977018,3.193671,frequentemente,nao,2.482933,2.0,1.0,nao,transporte publico
F,21.838323,1.758959,137.79299,sim,sim,3.0,3.0,as vezes,nao,2.640539,1.879818,0.885993,as vezes,transporte publico
,19.0,1.8,60.0,sim,sim,3.0,1.0,sempre,nao,1.0,0.0,0.0,nao,moto
M,41.0,1.75,118.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.0,as vezes,bicicleta
,31.333798,1.835381,91.059595,sim,sim,2.0,3.0,as vezes,nao,1.18423,0.155579,0.453404,as vezes,transporte publico
F,45.0,1.63,77.0,sim,sim,2.0,,frequentemente,nao,1.0,0.0,0.0,,carro
M,23.0,1.68,70.0,nao,sim,2.0,3.0,as vezes,nao,2.0,2.0,2.0,frequentemente,andando
F,26.0,1.643355,111.600553,sim,sim,3.0,3.0,as vezes,nao,2.652616,0.0,0.250502,as vezes,transporte publico
F,20.255616,,41.268597,nao,sim,2.673638,2.779379,frequentemente,,,0.043412,0.403694,as vezes,transporte publico
M,30.444081,1.761068,118.370628,sim,sim,2.571274,3.0,as vezes,nao,2.224164,1.018158,1.152899,as vezes,carro
F,22.033129,1.704223,51.437985,sim,sim,2.984425,3.0,frequentemente,nao,2.044694,2.008256,1.250871,nao,transporte publico
F,25.311534,1.685482,113.451224,sim,sim,3.0,3.0,as vezes,nao,2.987718,0.387074,0.283804,as vezes,transporte publico
M,18.0,1.72,53.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
F,25.0,1.57,55.0,nao,sim,2.0,1.0,,nao,2.0,2.0,0.0,as vezes,transporte publico
F,20.871667,1.782453,137.852618,sim,sim,3.0,3.0,as vezes,nao,2.748909,1.989171,,as vezes,transporte publico
M,,1.824432,105.131956,sim,,3.0,3.0,as vezes,nao,2.110611,1.890907,1.58483,as vezes,transporte publico
M,23.0,1.75,75.0,nao,sim,2.0,3.0,as vezes,nao,,1.0,0.0,frequentemente,transporte publico
F,19.442663,1.627812,82.0,sim,sim,1.081585,2.870661,as vezes,nao,1.11756,0.0,1.616826,as vezes,transporte publico
F,21.0,1.55,50.0,nao,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
M,23.0,1.774644,105.966894,sim,sim,2.312825,3.0,as vezes,nao,2.073497,0.614466,0.579541,as vezes,transporte publico
F,38.683794,1.501993,,,sim,2.0,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,carro
M,29.620095,1.787933,112.536367,,sim,2.008245,3.0,as vezes,nao,2.040137,0.0,0.474216,as vezes,carro
F,25.461411,1.7,78.055968,sim,sim,2.661556,3.0,as vezes,nao,3.0,0.55181,0.658783,as vezes,transporte publico
M,35.217173,1.823168,91.630257,sim,sim,2.0,2.9948,as vezes,nao,1.290979,0.87599,0.85405,as vezes,carro
F,22.0,1.68,52.0,,sim,3.0,3.0,frequentemente,nao,2.0,0.0,1.0,nao,transporte publico
M,28.986237,1.758618,113.501549,sim,sim,2.320201,3.0,as vezes,nao,2.164784,0.0,1.465479,as vezes,carro
M,25.015173,1.788239,115.382519,sim,sim,1.735664,3.0,as vezes,nao,2.041536,1.392406,0.39174,as vezes,transporte publico
F,34.0,1.68,77.0,sim,nao,3.0,1.0,as vezes,nao,2.0,1.0,0.0,as vezes,carro
F,19.0,1.54,42.0,nao,sim,3.0,1.0,as vezes,nao,2.0,0.0,1.0,nao,transporte publico
M,23.0,1.65,,sim,nao,2.0,,as vezes,nao,2.0,0.0,0.0,nao,transporte publico
M,30.605464,1.754796,118.805937,sim,sim,2.907542,3.0,as vezes,nao,2.284494,0.647632,1.668318,as vezes,carro
F,25.897815,1.664463,102.781971,sim,sim,3.0,3.0,as vezes,nao,1.068493,0.112122,1.0,as vezes,transporte publico
F,25.998646,1.640741,104.808542,sim,sim,3.0,3.0,as vezes,nao,2.653531,0.190061,0.692343,as vezes,transporte publico
M,39.585811,1.719153,86.464843,sim,sim,2.325623,1.313403,as vezes,nao,,0.604259,0.0,nao,carro
,19.149706,1.699818,78.0,sim,,1.096455,2.491315,as vezes,nao,2.450069,0.0,0.726118,as vezes,transporte publico
M,22.828435,1.710415,75.142858,sim,sim,,3.0,as vezes,nao,2.526193,0.925118,2.0,as vezes,transporte publico
M,26.734476,1.816197,119.622764,sim,sim,2.247037,3.0,as vezes,nao,2.718408,0.763595,0.0,as vezes,transporte publico
M,40.501722,1.744974,111.169678,sim,sim,2.294259,2.850948,as vezes,nao,1.87029,0.917014,0.0,nao,carro
F,26.0,1.622418,110.676343,sim,sim,3.0,3.0,as vezes,nao,2.691584,0.0,0.425473,as vezes,transporte publico
M,20.9859,1.780503,103.189532,sim,sim,2.0,3.0,as vezes,nao,1.608128,0.478134,0.0,nao,transporte publico
F,21.571288,1.600914,68.058902,sim,sim,1.766849,3.322522,as vezes,nao,2.616285,0.943058,0.256977,as vezes,transporte publico
M,21.620245,1.605314,66.621646,sim,sim,2.357496,3.376717,as vezes,nao,2.184843,1.358185,0.014885,as vezes,transporte publico
F,17.767432,1.74379,50.0,nao,sim,1.344854,4.0,frequentemente,nao,1.0,2.0,1.0,,transporte publico
F,20.81158,1.741193,128.763843,sim,sim,3.0,3.0,as vezes,nao,1.768111,0.616503,0.968151,as vezes,transporte publico
F,17.0,1.56,51.0,nao,sim,3.0,3.0,as vezes,nao,1.0,0.0,,nao,transporte publico
M,,1.65,80.0,nao,sim,2.0,3.0,as vezes,nao,2.0,1.0,0.0,,carro
F,21.0,1.53,65.0,sim,nao,2.0,3.0,as vezes,nao,1.0,0.0,1.0,nao,transporte publico
F,25.950898,1.649867,104.791035,sim,sim,3.0,3.0,as vezes,nao,2.535629,0.152713,,as vezes,transporte publico
M,25.058566,1.764484,,sim,sim,1.517912,3.0,as vezes,nao,2.038958,1.590255,0.00164,as vezes,transporte publico
F,18.0,1.62,68.0,nao,nao,2.0,1.0,as vezes,nao,,0.0,2.0,nao,transporte publico
F,26.0,1.64599,111.922491,sim,sim,3.0,3.0,as vezes,nao,2.78678,0.0,0.09776,as vezes,transporte publico
F,40.0,1.570811,62.211572,sim,sim,2.253371,3.0,as vezes,nao,2.756916,1.016042,0.213437,as vezes,carro
M,16.0,1.82,71.0,sim,sim,2.0,3.0,frequentemente,nao,2.0,2.0,1.0,as vezes,transporte publico
M,21.0,1.612556,69.463458,,sim,,1.259628,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,18.0,1.7,50.0,nao,sim,1.0,3.0,frequentemente,nao,1.0,2.0,1.0,as vezes,transporte publico
F,21.028989,1.748524,133.878843,sim,sim,3.0,3.0,,nao,2.868167,1.48372,0.83509,as vezes,transporte publico
M,23.0,1.72,66.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,1.0,as vezes,andando
F,20.700876,1.68838,121.889803,sim,sim,3.0,3.0,as vezes,nao,1.353167,1.093679,0.534553,as vezes,transporte publico
M,31.630054,1.671705,90.0,sim,sim,2.467002,1.851088,as vezes,nao,2.104054,1.991565,0.0,as vezes,carro
,33.732714,1.679725,74.885222,sim,sim,3.0,1.13715,as vezes,nao,1.000695,0.261274,0.0,as vezes,carro
M,18.426619,1.777108,57.145917,sim,sim,2.0,3.092116,as vezes,nao,2.426465,2.0,1.839862,nao,
M,25.632447,1.836943,96.192662,sim,sim,1.317729,2.278652,as vezes,nao,2.0,1.80674,1.93977,as vezes,transporte publico
M,33.070142,1.709428,83.014033,sim,sim,2.0,1.044628,as vezes,nao,2.01051,2.805801,0.0,,carro
F,26.0,1.641601,111.830924,sim,,3.0,3.0,as vezes,nao,,0.0,0.196288,,transporte publico
F,25.968792,1.632896,104.988925,sim,sim,3.0,3.0,as vezes,nao,1.239833,0.162279,0.619235,as vezes,transporte publico
F,25.895546,1.626179,110.074019,sim,sim,3.0,3.0,as vezes,nao,1.967707,0.01437,0.434073,as vezes,transporte publico
M,23.0,1.7425,105.028665,sim,sim,2.393837,3.0,as vezes,nao,2.01499,0.978815,0.41322,as vezes,transporte publico
F,35.0,1.53,45.0,sim,nao,3.0,3.0,frequentemente,nao,1.0,0.0,1.0,nao,carro
,23.147644,1.815514,120.337664,sim,sim,2.996717,2.791366,as vezes,nao,2.626309,1.194898,0.034897,as vezes,transporte publico
M,20.580984,1.798354,,sim,sim,2.0,3.0,as vezes,nao,2.401315,2.891986,0.0,nao,transporte publico
M,26.947786,1.647807,99.592225,sim,sim,2.935157,1.845858,as vezes,nao,1.0,1.089891,0.715993,nao,transporte publico
M,21.504943,,106.038468,sim,sim,2.0,3.0,,nao,2.715252,,0.621605,nao,transporte publico
M,22.052152,1.792527,89.994415,sim,sim,1.771693,1.890213,as vezes,nao,2.0,0.0,1.36595,as vezes,transporte publico
F,18.0,1.57,,sim,sim,,1.0,sempre,nao,1.0,1.0,0.0,nao,transporte publico
M,20.924808,1.803245,105.686091,sim,sim,2.0,3.0,as vezes,nao,2.290368,0.001086,0.544128,as vezes,transporte publico
F,36.631456,1.532322,,sim,sim,2.288604,2.845307,as vezes,nao,2.638164,0.0,0.990741,as vezes,carro
F,21.394047,1.792933,137.832414,sim,sim,3.0,3.0,as vezes,nao,2.682909,1.318743,0.900497,as vezes,transporte publico
F,21.0,1.72,80.0,sim,sim,2.0,3.0,frequentemente,nao,2.0,2.0,1.0,as vezes,
M,21.618246,1.679306,75.0,sim,sim,2.0,3.0,as vezes,nao,1.957871,0.994592,0.117303,as vezes,transporte publico
M,28.825279,1.815347,120.399758,,sim,2.9673,3.0,as vezes,,2.530035,,0.947866,as vezes,carro
M,23.0,1.8,60.0,sim,nao,2.0,3.0,nao,nao,3.0,0.0,1.0,as vezes,transporte publico
F,20.81158,1.741193,128.763843,sim,sim,3.0,3.0,as vezes,nao,1.768111,0.616503,0.968151,as vezes,transporte publico
F,25.996716,1.62658,105.037203,sim,sim,3.0,3.0,as vezes,nao,2.347322,0.008013,0.503896,as vezes,
M,33.0,1.72,83.0,sim,sim,2.0,1.0,as vezes,nao,2.0,3.0,0.0,as vezes,carro
F,26.0,1.639524,111.945588,sim,sim,,3.0,as vezes,nao,2.739351,0.0,0.064769,as vezes,transporte publico
F,20.744839,1.667852,49.803921,sim,sim,2.977018,3.193671,frequentemente,nao,2.482933,2.0,1.0,nao,transporte publico
M,26.945139,1.773259,118.154345,sim,nao,2.18354,3.0,as vezes,nao,2.277937,0.68183,0.0,as vezes,carro
F,25.968792,1.632896,104.988925,sim,sim,3.0,3.0,as vezes,nao,1.239833,0.162279,0.619235,as vezes,transporte publico
M,19.920629,1.768493,57.790381,sim,sim,2.0,3.897078,as vezes,nao,2.622638,2.0,1.894105,,carro
M,23.083621,1.848553,121.421121,sim,sim,3.0,2.567567,,nao,2.011023,0.916478,0.0,as vezes,transporte publico
M,19.858973,1.62,69.575315,nao,sim,2.185938,1.0,nao,nao,2.81353,1.0,1.110222,as vezes,transporte publico
M,21.0,1.71,100.0,sim,sim,2.0,1.0,as vezes,nao,2.0,0.0,2.0,nao,transporte publico
M,21.123048,1.717037,80.0,sim,sim,2.0,3.0,as vezes,nao,2.0,2.270555,1.343044,nao,transporte publico
M,,1.718097,88.600878,sim,sim,,3.0,as vezes,nao,1.568035,0.870127,0.0,nao,carro
F,38.378056,1.67805,,sim,sim,2.444599,3.0,as vezes,nao,1.029798,0.0,0.0,nao,carro
F,26.0,1.650125,111.939671,sim,sim,3.0,3.0,as vezes,nao,2.770732,0.0,0.125235,as vezes,transporte publico
F,38.542937,1.517248,79.843221,sim,sim,2.0,3.0,as vezes,nao,1.095134,0.0,0.0,,carro
M,17.0,1.74,56.0,sim,sim,2.0,3.0,as vezes,nao,2.0,2.0,1.0,nao,transporte publico
M,20.0,1.9,91.0,sim,sim,3.0,4.0,as vezes,nao,3.0,2.0,0.0,as vezes,andando
M,18.424941,1.753389,54.121925,sim,sim,2.0,3.16645,as vezes,nao,2.278578,1.838881,2.0,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,,1.796415,120.988454,sim,sim,2.475892,3.0,as vezes,nao,2.949356,1.866839,0.100048,as vezes,transporte publico
M,30.424369,1.699354,100.176866,sim,sim,2.819934,1.91863,as vezes,nao,1.0,1.39302,0.553311,nao,transporte publico
F,25.940153,1.596813,102.320437,sim,sim,3.0,3.0,as vezes,nao,1.000536,0.005939,0.566353,as vezes,transporte publico
F,19.0,1.556211,42.339767,,sim,3.0,2.0846,as vezes,nao,2.13755,0.196152,0.062488,nao,transporte publico
M,25.523127,1.786532,114.534678,sim,sim,2.100177,3.0,as vezes,nao,2.099687,1.281165,0.247332,as vezes,transporte publico
M,30.403205,1.696365,102.815983,sim,sim,2.79166,2.13229,as vezes,nao,1.254589,0.652736,1.040713,nao,transporte publico
M,25.492855,1.770124,114.163921,sim,,2.159033,3.0,as vezes,nao,2.116399,1.331526,0.052942,as vezes,
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
,26.680376,1.812259,118.277657,sim,sim,2.239634,3.0,as vezes,nao,2.684264,0.979306,0.0,as vezes,transporte publico
F,26.0,1.600762,105.448264,sim,sim,3.0,3.0,as vezes,nao,1.031354,0.0,0.37465,as vezes,transporte publico
M,21.0,1.72,75.0,nao,sim,2.0,3.0,as vezes,nao,1.0,1.0,0.0,nao,transporte publico
M,21.0,,80.0,nao,nao,1.0,3.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
M,18.729566,1.855433,112.875283,sim,sim,2.0,2.427137,as vezes,nao,2.574073,1.0,2.0,as vezes,transporte publico
F,22.591026,1.650012,87.676154,sim,sim,2.983851,1.068443,as vezes,nao,2.854161,1.103209,1.0,nao,transporte publico
,19.741202,1.816783,86.522799,sim,sim,2.0,3.0,as vezes,nao,2.177386,0.336814,0.004813,as vezes,transporte publico
F,25.908829,1.607734,102.305767,sim,sim,3.0,3.0,as vezes,nao,1.030501,0.06582,0.991473,as vezes,transporte publico
F,30.0,1.71,82.0,sim,sim,3.0,4.0,,sim,1.0,0.0,0.0,nao,carro
F,20.0,,52.0,nao,sim,3.0,3.0,frequentemente,nao,1.0,3.0,1.0,nao,carro
M,29.0,1.62,53.0,nao,sim,2.0,3.0,as vezes,nao,,0.0,0.0,as vezes,carro
M,25.136116,1.76414,113.089716,sim,,1.168856,3.0,as vezes,nao,2.013205,1.246223,0.00159,as vezes,transporte publico
F,25.783865,1.655646,110.21734,sim,sim,3.0,3.0,as vezes,nao,1.528258,0.01586,0.436068,as vezes,transporte publico
M,36.67933,1.780725,98.790167,sim,sim,2.540949,1.116401,as vezes,nao,2.929123,2.787319,,frequentemente,carro
F,21.0285,1.742364,78.664618,sim,sim,2.780699,1.101404,as vezes,nao,1.579207,1.153775,0.0,as vezes,transporte publico
M,29.506287,1.82697,108.751502,sim,sim,2.0,2.877583,as vezes,nao,2.358038,0.877295,1.817146,as vezes,carro
F,29.463168,1.659172,71.170001,sim,sim,2.0,3.0,as vezes,nao,1.281683,1.609801,0.0,as vezes,carro
F,20.0,1.62,53.0,nao,sim,3.0,1.0,as vezes,nao,3.0,1.0,,nao,transporte publico
M,28.255199,1.816547,120.699119,sim,sim,2.997951,3.0,as vezes,nao,2.715856,0.739881,0.972054,as vezes,carro
F,22.829681,1.616085,82.582954,sim,sim,2.663866,1.416309,as vezes,nao,2.379275,0.256323,0.598244,,transporte publico
M,23.562135,1.717432,75.371244,sim,sim,2.0,3.0,as vezes,nao,2.0,0.121585,1.967259,as vezes,transporte publico
M,27.349745,1.835271,97.58826,sim,sim,2.923433,1.338033,as vezes,nao,1.944095,1.931829,1.0,as vezes,transporte publico
F,20.0,1.61,64.0,sim,nao,3.0,3.0,sempre,nao,2.0,0.0,1.0,frequentemente,transporte publico
F,,1.532897,65.031879,sim,nao,2.0,1.0,as vezes,nao,1.0,0.262171,0.0,nao,
F,18.0,1.67,66.0,nao,,3.0,3.0,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
M,22.735328,1.723921,94.743892,sim,sim,2.0,3.0,as vezes,nao,2.183149,1.932386,0.212767,nao,transporte publico
F,21.125098,1.767479,56.265959,sim,sim,2.371338,3.998766,frequentemente,nao,2.263466,2.0,0.844004,nao,transporte publico
F,38.0,1.56,80.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.0,as vezes,carro
F,19.407204,1.520862,42.0,nao,sim,3.0,1.0,frequentemente,nao,1.848703,0.0,0.744555,as vezes,transporte publico
M,19.72925,1.793315,58.19515,sim,sim,2.508835,3.435905,as vezes,nao,2.076933,,1.443328,nao,
